Source_Name GLON GLAT dTH TS F_PSR_INT F_PSR_IND F_OB_INT F_OB_IND TYPE A_PSR_INT UNC_A_PSR_INT B_PSR_INT UNC_B_PSR_INT EB_PSR_INT A_PSR_IND UNC_A_PSR_IND B_PSR_IND UNC_B_PSR_IND EB_PSR_IND A_OB_INT UNC_A_OB_INT B_OB_INT UNC_B_OB_INT EB_OB_INT A_OB_IND UNC_A_OB_IND B_OB_IND UNC_B_OB_IND EB_OB_IND ASSOC_3FGL
1FIGJ1740.2-2834 359.69 1.17 0.11 76 3.96 4.73 2.81 3.53 LP 3.80 1.36 1.41 1.24 0.36 4.84 1.12 1.77 0.89 0.36 5.00 0.06 2.77 0.51 0.36 5.00 0.01 2.22 0.42 0.36 3FGLJ1740.5-2843
1FIGJ1741.5-2538 2.37 2.44 0.04 25 0.53 0.61 0.51 0.00 PL 1.66 0.27 0.00 0.00 1.00 1.79 0.29 0.00 0.00 1.00 1.63 0.27 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 3FGLJ1741.9-2539
1FIGJ1741.5-2054 6.41 4.92 0.02 1679 15.16 15.72 15.60 15.67 LP 2.79 0.12 1.67 0.28 1.73 2.86 0.13 1.62 0.29 1.73 2.79 0.13 1.64 0.28 1.73 2.83 0.13 1.63 0.28 1.73 3FGLJ1741.9-2054
1FIGJ1742.5-3318 355.96 -1.77 0.07 104 3.42 3.92 3.51 3.73 LP 2.06 0.42 3.08 0.95 2.11 2.53 0.37 2.61 0.83 2.11 2.01 0.41 3.09 0.93 2.11 2.33 0.38 2.76 0.87 2.11 3FGLJ1742.6-3321
1FIGJ1744.2-2930 359.36 -0.05 0.05 106 7.51 9.06 6.68 7.86 LP 2.21 0.22 0.42 0.26 2.56 2.87 0.22 0.29 0.29 2.56 2.13 0.25 0.47 0.28 2.56 2.49 0.22 0.34 0.27 2.56 NA
1FIGJ1744.3-3051 358.23 -0.78 0.15 31 2.36 2.33 1.73 1.85 PL 2.25 0.18 0.00 0.00 1.00 2.51 0.24 0.00 0.00 1.00 2.15 0.21 0.00 0.00 1.00 2.33 0.24 0.00 0.00 1.00 3FGLJ1744.7-3043
1FIGJ1745.0-2905 359.80 0.03 0.04 270 16.14 15.98 14.52 17.38 LP 2.08 0.18 0.94 0.27 2.54 2.23 0.24 1.07 0.36 2.54 1.97 0.23 1.08 0.35 2.54 2.28 0.20 0.85 0.29 2.54 NA 
1FIGJ1745.1-3012 358.87 -0.59 0.05 123 7.79 8.57 6.42 7.76 LP 2.75 0.17 0.18 0.15 0.45 3.10 0.25 0.08 0.19 0.45 2.67 0.19 0.22 0.18 0.45 2.90 0.20 0.11 0.17 0.45 3FGLJ1745.1-3011
1FIGJ1745.5-2859 359.98 -0.07 0.01 3063 56.82 57.61 56.57 56.99 LP 2.28 0.06 0.21 0.04 2.69 2.33 0.07 0.22 0.05 2.69 2.28 0.06 0.21 0.05 2.69 2.30 0.07 0.21 0.05 2.69 NA
1FIGJ1746.4-2843 0.30 -0.10 0.04 330 19.00 18.53 18.90 18.93 LP 2.66 0.12 0.19 0.12 3.12 2.73 0.14 0.22 0.14 3.12 2.65 0.12 0.21 0.13 3.12 2.69 0.13 0.20 0.13 3.12 NA
1FIGJ1746.5-3240 356.95 -2.16 0.03 358 7.53 8.15 7.51 7.94 LP 2.26 0.16 0.82 0.23 2.12 2.49 0.16 0.71 0.24 2.12 2.22 0.17 0.84 0.25 2.12 2.40 0.16 0.73 0.24 2.12 3FGLJ1746.8-3240
1FIGJ1747.0-2826 0.59 -0.01 0.04 169 11.24 13.11 11.01 12.45 LP 2.58 0.12 0.00 0.00 0.33 2.83 0.15 0.00 0.00 0.33 2.57 0.13 0.00 0.00 0.33 2.71 0.14 0.00 0.00 0.33 3FGLJ1747.0-2828
1FIGJ1747.2-2959 359.29 -0.86 0.02 879 20.38 20.61 19.30 21.12 LP 2.51 0.09 0.54 0.13 2.35 2.65 0.10 0.57 0.15 2.35 2.48 0.10 0.59 0.14 2.35 2.67 0.09 0.50 0.13 2.35 3FGLJ1747.2-2958
1FIGJ1747.6-2442 3.88 1.75 0.04 36 0.87 1.38 0.89 1.02 LP 3.03 0.71 1.39 0.85 0.93 3.06 0.62 0.87 0.56 0.93 2.99 0.69 1.36 0.83 0.93 3.05 0.68 1.19 0.75 0.93 NA
1FIGJ1748.1-2449 3.81 1.64 0.03 446 9.07 9.29 9.36 9.56 LP 2.45 0.15 1.16 0.23 2.42 2.64 0.14 0.86 0.22 2.42 2.46 0.14 1.15 0.24 2.42 2.58 0.14 0.97 0.23 2.42 3FGLJ1748.0-2447
1FIGJ1748.2-2856 0.29 -0.50 0.17 90 6.75 7.36 6.89 7.30 LP 2.40 0.25 0.43 0.25 2.54 2.65 0.24 0.39 0.28 2.54 2.45 0.24 0.43 0.25 2.54 2.59 0.24 0.39 0.26 2.54 3FGLJ1747.7-2904
1FIGJ1748.2-2816 0.88 -0.18 0.02 377 11.20 11.97 11.86 11.78 LP 2.38 0.14 1.03 0.19 0.41 2.57 0.15 0.89 0.20 0.41 2.42 0.14 1.01 0.19 0.41 2.49 0.14 0.91 0.19 0.41 3FGLJ1748.3-2815c
1FIGJ1749.1-2917 0.10 -0.86 0.12 92 4.97 5.30 4.21 4.43 LP 2.20 0.31 0.57 0.34 2.31 2.47 0.31 0.56 0.40 2.31 2.07 0.37 0.69 0.43 2.31 2.25 0.36 0.68 0.47 2.31 3FGLJ1749.2-2911
1FIGJ1750.2-3705 353.50 -5.04 0.06 49 1.41 1.45 1.45 1.55 PL 2.53 0.21 0.00 0.00 1.00 2.57 0.21 0.00 0.00 1.00 2.51 0.20 0.00 0.00 1.00 2.56 0.20 0.00 0.00 1.00 3FGLJ1750.2-3704
1FIGJ1753.5-2931 0.41 -1.85 0.10 73 2.87 3.15 2.14 2.47 LP 2.26 0.30 0.49 0.35 2.29 2.53 0.28 0.40 0.36 2.29 2.03 0.39 0.62 0.48 2.29 2.28 0.34 0.49 0.42 2.29 3FGLJ1754.0-2930
1FIGJ1753.6-2539 3.77 0.09 0.02 276 7.21 8.67 7.68 8.02 LP 2.36 0.14 0.54 0.14 0.46 2.59 0.13 0.35 0.13 0.46 2.39 0.14 0.53 0.14 0.46 2.51 0.14 0.41 0.14 0.46 3FGLJ1754.0-2538
1FIGJ1755.5-2511 4.39 -0.04 0.05 59 3.46 4.34 3.56 3.84 LP 2.09 0.28 0.72 0.33 2.89 2.72 0.29 0.56 0.41 2.89 2.08 0.27 0.73 0.32 2.89 2.47 0.28 0.58 0.35 2.89 NA
1FIGJ1758.5-2405 5.68 -0.07 0.04 95 4.89 5.52 5.06 5.58 LP 2.23 0.18 0.23 0.21 0.36 2.48 0.17 0.17 0.20 0.36 2.20 0.18 0.22 0.20 0.36 2.41 0.18 0.14 0.19 0.36 3FGLJ1758.8-2402
1FIGJ1759.0-2345 5.98 0.05 0.03 115 4.69 5.04 5.33 4.75 LP 1.96 0.18 0.24 0.12 0.34 2.19 0.19 0.17 0.14 0.34 2.01 0.18 0.22 0.13 0.34 2.03 0.22 0.22 0.15 0.34 3FGLJ1758.8-2346
1FIGJ1800.5-2359 5.99 -0.43 0.03 276 10.92 10.89 11.71 10.88 LP 2.46 0.10 0.19 0.10 0.46 2.57 0.11 0.12 0.10 0.46 2.47 0.10 0.18 0.10 0.46 2.50 0.11 0.14 0.10 0.46 3FGLJ1800.8-2402
1FIGJ1801.1-2313 6.69 -0.09 0.03 137 9.25 8.34 9.22 8.84 LP 3.42 0.45 1.70 0.55 3.02 4.13 1.01 2.24 1.03 3.02 3.48 0.54 1.76 0.68 3.02 3.82 0.75 2.02 0.82 3.02 NA
1FIGJ1801.2-2451 5.29 -0.96 0.07 47 3.01 3.70 3.75 4.34 PL 2.43 0.18 0.00 0.00 1.00 2.79 0.21 0.00 0.00 1.00 2.48 0.16 0.00 0.00 1.00 2.69 0.17 0.00 0.00 1.00 NA
1FIGJ1801.4-2330 6.51 -0.36 0.02 234 14.26 13.28 13.65 12.17 LP 3.27 1.06 0.56 1.12 3.10 2.89 0.19 0.00 0.02 3.10 3.27 0.65 0.54 0.66 3.10 2.90 0.21 0.04 0.23 3.10 NA 
1FIGJ1801.6-2358 6.13 -0.64 0.04 29 2.40 2.86 2.62 3.18 PL 2.11 0.24 0.00 0.00 1.00 2.33 0.25 0.00 0.00 1.00 2.11 0.22 0.00 0.00 1.00 2.29 0.22 0.00 0.00 1.00 NA
1FIGJ1802.2-3043 0.29 -4.05 0.05 32 0.75 0.80 0.67 0.71 PL 1.91 0.22 0.00 0.00 1.00 1.98 0.23 0.00 0.00 1.00 1.85 0.22 0.00 0.00 1.00 1.90 0.22 0.00 0.00 1.00 3FGLJ1802.4-3043
1FIGJ1808.2-3358 358.05 -6.72 0.07 51 1.33 1.35 1.15 1.41 PL 2.60 0.23 0.00 0.00 1.00 2.63 0.24 0.00 0.00 1.00 2.51 0.24 0.00 0.00 1.00 2.60 0.23 0.00 0.00 1.00 3FGLJ1808.3-3357
1FIGJ1809.5-2332 7.39 -2.00 0.01 7791 64.82 66.11 65.87 66.49 LP 2.66 0.04 0.42 0.05 0.32 2.69 0.04 0.40 0.05 0.32 2.66 0.04 0.42 0.05 0.32 2.68 0.04 0.40 0.05 0.32 3FGLJ1809.8-2332
